Nombre,Latitud,Longitud,Distancia_KM,Precio_Calculado,Colonia_Detectada_Google,Municipio,Estado
"El Cerrito Nitre 2a Sección",16.2397962,-92.1559718,2.32,50,"San Vicente Buenavista","Comitán de Domínguez","⚠️  SOSPECHOSA"
"El Chumis",16.2454727,-92.1447176,0.97,45,"Candelaria","Comitán de Domínguez","⚠️  SOSPECHOSA"
"El Durazno",16.408474,-92.2570389,21.71,70,"N/A","Las Rosas","❌ FUERA_DE_COMITAN"
"El Herraje",16.2377329,-92.1468661,1.75,45,"La Esmeralda","Comitán de Domínguez","⚠️  SOSPECHOSA"
"EL HERRAJE",16.2377329,-92.1468661,1.75,45,"La Esmeralda","Comitán de Domínguez","⚠️  SOSPECHOSA"
"El Jordán",16.261252,-92.1289137,1.49,45,"Linda Vista María Guadalupe","Comitán de Domínguez","⚠️  SOSPECHOSA"
"El Laurel",16.2393092,-92.1113777,3.05,50,"Los Sabinos","Comitán de Domínguez","⚠️  SOSPECHOSA"
"El Milagro",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"El Mirador",16.2575615,-92.1487078,1.43,45,"El Mirador","Comitán de Domínguez","✅ OK"
"El Pedregal",16.2179329,-92.1147256,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"El Piedrón",16.245,-92.131,0.92,45,"San Sebastián","Comitán de Domínguez","⚠️  SOSPECHOSA"
"El Rosario",16.2391412,-92.1530054,2.10,50,"El Rosario","Comitán de Domínguez","✅ OK"
"EL ROSARIO",16.243085,-92.118968,2.14,50,"Las Chilcas","Comitán de Domínguez","⚠️  SOSPECHOSA"
"El Rosario Yocnajab",16.2319021,-92.1419553,2.14,50,"Popular Comitán","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Entronque Chichima",16.2163718,-92.1146489,4.52,60,"Chichima","Comitán de Domínguez","✅ OK"
"ENTRONQUE CHICHIMA",16.2163718,-92.1146489,4.52,60,"Chichima","Comitán de Domínguez","✅ OK"
"Esmeralda",16.2350509,-92.1193129,2.59,50,"Los Sabinos","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Esthela Morales",16.2373428,-92.1440252,1.64,45,"El Herraje","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FOVISSSTE Chiapas 94",16.2349874,-92.1457918,1.95,45,"Estela Morales","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FOVISSSTE las Flores",16.2349874,-92.1457918,1.95,45,"Estela Morales","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Fovisste",16.2349874,-92.1457918,1.95,45,"Estela Morales","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FOVISSTE",16.2349874,-92.1457918,1.95,45,"Estela Morales","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FRACC 28 DE AGOSTO",16.239756,-92.159441,2.64,50,"Pashtón Acapulco","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FRACC 9 ESTRELLAS",16.2179,-92.1147,4.37,60,"Los Sabinos","Chichimá Acapetahua","❌ FUERA_DE_COMITAN"
"FRACC LAS FLORES",16.239708,-92.149686,1.79,45,"Flores","Comitán de Domínguez","✅ OK"
"FRACC LOS LAGOS",16.2269,-92.1152,3.54,50,"Los Sabinos","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FRACC LOS PINOS",16.240762,-92.131008,1.29,45,"Calzada el Panteón","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FRACC MAYA",16.2446,-92.1539,1.88,45,"Maya","Comitán de Domínguez","✅ OK"
"FRACC PRADO",16.2383,-92.154,2.24,50,"Bosques de Comitán 3a Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FRACC TERRAZAS",16.2409,-92.1237,1.82,45,"Yalchivol","Comitán de Domínguez","⚠️  SOSPECHOSA"
"FRACC TUCANES",16.2347,-92.134,1.80,45,"Cumpata","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Fraccionamiento",16.2347403,-92.1339541,1.80,45,"Belisario Domínguez Primera Sección","Comitán de Domínguez","⚠️  SOSPECHOSA"
"Francisco J Mújica",16.0522199,-92.2180598,23.68,70,"N/A","Francisco J. Mújica","❌ FUERA_DE_COMITAN"
"Francisco Sarabia",16.1580599,-92.1041699,10.88,70,"N/A","Francisco Sarabia","❌ FUERA_DE_COMITAN"
"Gas Villatoro",16.2594141,-92.1325248,1.11,45,"El Cedro","Comitán de Domínguez","⚠️  SOSPECHOSA"
